jalan,tanggal/jam,kondisi
traffic light pancoran jaksel ,26 May 2022 18:28:00,terpantau ramai lancar.
traffic light kalibata jaksel ,26 May 2022 17:18:00,terpantau ramai lancar.
traffic light bintang mas ancol jakut ,26 May 2022 16:46:00,terpantau ramai lancar.
traffic light cengkareng jakbar ,25 May 2022 07:00:00,terpantau ramai lancar.
jalan jendral sudirman (teluk betung) jakarta pusat ,25 May 2022 06:43:00,terpantau ramai lancar.
traffic light salemba jakarta pusat ,22 May 2022 07:52:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,22 May 2022 07:15:00,terpantau ramai lancar.
traffic light pancoran jaksel ,20 May 2022 19:32:00,terpantau padat.
traffic light ketapang jakbar ,17 May 2022 18:41:00,terpantau ramai lancar.
traffic light cempaka putih jakarta pusat ,17 May 2022 17:01:00,terpantau ramai lancar.
traffic light pasar rebo jaktim ,13 May 2022 06:27:00,terpantau ramai lancar.
jalan pattimura jaksel ,11 May 2022 17:40:00,terpantau padat.
traffic light cengkareng jakbar ,11 May 2022 17:30:00,terpantau ramai lancar.
jalan h. naman jalan raya kalimalang dari jakarta ,07 May 2022 22:54:00,terpantau ramai lancar.
jalan s. parman ,06 May 2022 15:23:00,terpantau lancar di sore hari ini.
jalan yos sudarso jakut ,01 June 2022 08:54:00,terpantau ramai lancar.
traffic light sarinah jakarta pusat ,31 May 2022 07:49:00,terpantau ramai lancar.
traffic light halim baru jaktim ,31 May 2022 07:38:00,terpantau padat.
traffic light pancoran jaksel ,31 May 2022 07:24:00,terpantau ramai lancar.
traffic light fatmawati jaksel ,31 May 2022 07:02:00,terpantau ramai lancar.
traffic light matraman jaktim ,31 May 2022 06:54:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,31 May 2022 06:43:00,terpantau ramai lancar.
jalan tb simatupang jaktim ,31 May 2022 06:21:00,terpantau ramai lancar.
traffic light slipi jakbar ,31 May 2022 05:22:00,terpantau lancar.
traffic light kalibata ,30 May 2022 22:21:00,terpantau ramai lancar.
traffic light tomang jakbar ,29 May 2022 14:41:00,terpantau ramai lancar.
traffic light harmoni jakarta pusat ,29 May 2022 13:40:00,terpantau ramai lancar.
traffic light pancoran jaksel ,29 May 2022 13:22:00,terpantau ramai lancar.
traffic light pertanian jaksel ,29 May 2022 11:20:00,terpantau ramai lancar.
jalan letjen suprapto jakarta pusat ,29 May 2022 10:05:00,terpantau ramai lancar.
traffic light utan kayu jaktim ,29 May 2022 09:14:00,terpantau lancar.
traffic light pancoran jaksel ,26 May 2022 18:28:00,terpantau ramai lancar.
traffic light kalibata jaksel ,26 May 2022 17:18:00,terpantau ramai lancar.
traffic light bintang mas ancol jakut ,26 May 2022 16:46:00,terpantau ramai lancar.
traffic light salemba jakarta pusat ,26 May 2022 15:29:00,terpantau ramai lancar.
traffic light bungur jakarta pusat ,26 May 2022 14:46:00,terpantau ramai lancar.
traffic light pancoran jakarta selatan ,26 May 2022 11:43:00,terpantau ramai lancar.
traffic light kalibata jakarta selatan ,26 May 2022 11:12:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,25 May 2022 07:47:00,terpantau ramai lancar.
traffic light cengkareng jakbar ,25 May 2022 07:00:00,terpantau ramai lancar.
traffic light fatmawati jaksel ,25 May 2022 06:51:00,terpantau ramai lancar.
jalan jendral sudirman (teluk betung) jakarta pusat ,25 May 2022 06:43:00,terpantau ramai lancar.
traffic light slipi jakbar ,25 May 2022 05:25:00,terpantau lancar.
jalan gatot subroto seberang dpr/mpr ,23 May 2022 16:42:00,terpantau ramai lancar.
jalan s. parman jakbar (depan rs harapan kita) ,23 May 2022 12:13:00,terpantau tersendat dikarenakan ada pengerjaan pengecatan halte bis.
traffic light garuda tamini square jaktim ,23 May 2022 10:50:00,terpantau ramai lancar.
traffic light harmoni jakarta pusat ,23 May 2022 10:26:00,terpantau ramai lancar.
traffic light salemba jakarta pusat ,22 May 2022 07:52:00,terpantau ramai lancar.
traffic light tugu tani jakarta pusat ,22 May 2022 07:15:00,terpantau ramai lancar.
traffic light pancoran jaksel ,20 May 2022 19:32:00,terpantau padat.
traffic light slipi jakbar ,20 May 2022 17:46:00,terpantau padat.
traffic light cempaka putih jakarta pusat ,20 May 2022 16:57:00,terpantau ramai lancar.
jalan prapanca raya jaksel ,20 May 2022 15:47:00,terpantau ramai lancar.
jalan cileduq raya (pasar cipulir) ,20 May 2022 09:29:00,terpantau ramai cenderung padat.
traffic light grogol jakbar ,19 May 2022 07:28:00,terpantau ramai lancar.
traffic light fatmawati jaksel ,19 May 2022 06:50:00,terpantau ramai lancar.
traffic light harmoni jakarta pusat ,19 May 2022 06:34:00,terpantau ramai lancar.
traffic light slipi jakbar ,19 May 2022 05:17:00,terpantau lancar.
traffic light ketapang jakbar ,17 May 2022 18:41:00,terpantau ramai lancar.
traffic light cempaka putih jakarta pusat ,17 May 2022 17:01:00,terpantau ramai lancar.
jalan letjen suprapto jakarta pusat ,17 May 2022 15:25:00,terpantau ramai lancar.
traffic light patung kuda monas jakarta pusat ,17 May 2022 12:26:00,terpantau ramai lancar.
jalan gatot subroto jakarta pusat jalur arteri maupun ruas tol ,17 May 2022 10:53:00,terpantau ramai lancar.
traffic light pancoran jaksel ,17 May 2022 09:32:00,terpantau ramai lancar.
jalan yang ,14 May 2022 10:32:00,.
jalan gatot subroto jakarta pusat ,14 May 2022 10:12:00,terpantau ramai lancar.
traffic light fatmawati jaksel ,13 May 2022 08:00:00,terpantau ramai lancar.
traffic light pgc cililitan jaktim ,13 May 2022 06:39:00,terpantau ramai lancar.
traffic light pasar rebo jaktim ,13 May 2022 06:27:00,terpantau ramai lancar.
jalan pattimura jaksel ,11 May 2022 17:40:00,terpantau padat.
traffic light cengkareng jakbar ,11 May 2022 17:30:00,terpantau ramai lancar.
jalan gunung sahari jakarta pusat ,11 May 2022 17:01:00,terpantau ramai lancar.
traffic light perdatam jaksel ,11 May 2022 16:08:00,terpantau padat.
traffic light tugu tani jakarta pusat ,11 May 2022 15:34:00,terpantau ramai lancar.
traffic light simpang lima senen jakarta pusat ,11 May 2022 15:04:00,terpantau ramai lancar.
jalan jendral sudirman (dukuh atas) jakarta pusat ,11 May 2022 13:30:00,terpantau ramai lancar.
traffic light patung kuda monas jakarta pusat ,11 May 2022 13:13:00,terpantau ramai lancar.
jalan letjen suprapto jakarta pusat ,11 May 2022 10:09:00,terpantau ramai lancar.
traffic light karet bivak jakarta pusat dari arah tanah abang ,11 May 2022 09:06:00,terpantau ramai lancar.
traffic light bundaran senayan ,11 May 2022 08:27:00,terpantau ramai lancar.
jalan h. naman jalan raya kalimalang dari jakarta ,07 May 2022 22:54:00,terpantau ramai lancar.
jalan jendral sudirman (dukuh atas) jakarta pusat ,07 May 2022 06:15:00,terpantau lancar.
jalan s. parman ,06 May 2022 15:23:00,terpantau lancar di sore hari ini.
